song_id,title,artist_name,album_name,duration,year,tempo,loudness,key,mode
S000000,Song Title 0,Artist 0,Album 0,232.36203565420874,2006,123.19485567227515,-18.810568622654383,6,1
S000001,Song Title 1,Artist 1,Album 1,405.21429192297484,1971,89.5283590557598,-19.936643028385966,8,1
S000002,Song Title 2,Artist 2,Album 2,339.59818254342156,2021,117.2034570049391,-7.196033768807524,7,0
S000003,Song Title 3,Artist 3,Album 3,299.597545259111,1975,107.32383885820202,-14.031301752762467,4,0
S000004,Song Title 4,Artist 4,Album 4,166.80559213273096,1983,125.9297086116544,-15.192352226010325,3,0
S000005,Song Title 5,Artist 5,Album 5,166.7983561008608,1978,149.62508593629872,-13.76201839991439,11,1
S000006,Song Title 6,Artist 6,Album 6,137.42508365045984,1967,145.85890885191293,-14.879048697900913,6,0
S000007,Song Title 7,Artist 7,Album 7,379.85284373248055,1990,122.54809589824012,-19.384199006791043,4,0
S000008,Song Title 8,Artist 8,Album 8,300.3345035229627,1980,158.68721025804697,-0.5693391521882276,6,1
S000009,Song Title 9,Artist 9,Album 9,332.42177333881364,1976,111.703450984564,-15.585090230944365,11,1
S000010,Song Title 10,Artist 10,Album 10,126.17534828874074,1982,167.60571478081468,-5.3194047482138735,0,1
S000011,Song Title 11,Artist 11,Album 11,410.9729556485983,1996,68.55363240661967,-4.748072106116494,0,1
S000012,Song Title 12,Artist 12,Album 12,369.7327922401265,2013,174.55920360399688,-1.4148520398554147,9,1
S000013,Song Title 13,Artist 13,Album 13,183.70173320348283,1975,138.56316977176178,-19.3890108581324,2,1
S000014,Song Title 14,Artist 14,Album 14,174.5474901621302,1965,105.60894107246463,-2.5590332310598463,10,0
S000015,Song Title 15,Artist 15,Album 15,175.02135295603014,1967,83.65849518874528,-9.455476383203996,1,1
S000016,Song Title 16,Artist 16,Album 16,211.27267288786132,1984,117.50198753323198,-7.349117800683443,1,0
S000017,Song Title 17,Artist 17,Album 17,277.42692948967135,1977,83.34699878223611,-7.110594457579326,6,0
S000018,Song Title 18,Artist 18,Album 18,249.58350559263474,1984,79.95979292917706,-3.6040439003054487,11,0
S000019,Song Title 19,Artist 19,Album 19,207.36874205941257,1971,134.0822108895569,-13.33185355681779,9,1
S000020,Song Title 20,Artist 20,Album 20,303.55586841671385,1974,122.77016694981415,-5.338976202800133,1,0
S000021,Song Title 21,Artist 21,Album 21,161.84815819561254,2018,140.411524153313,-9.428437805556058,10,1
S000022,Song Title 22,Artist 22,Album 22,207.64339456056544,1985,171.5527052906387,-4.132119713893045,3,1
S000023,Song Title 23,Artist 23,Album 23,229.90855298810752,2000,123.87122560068482,-0.18907934459733156,1,0
S000024,Song Title 24,Artist 24,Album 24,256.8209952651108,2004,129.71184639153574,-15.986979651924775,5,1
S000025,Song Title 25,Artist 25,Album 25,355.5527884179041,1985,70.75516069859306,-0.10702716880004104,7,0
S000026,Song Title 26,Artist 26,Album 26,179.90213464750792,2006,146.11629430903554,-18.20375691434452,9,0
S000027,Song Title 27,Artist 27,Album 27,274.2703315240835,1991,107.98862481649874,-19.953649041903724,3,1
S000028,Song Title 28,Artist 28,Album 28,297.72437065861277,1969,177.20702863950947,-19.116761276443373,4,0
S000029,Song Title 29,Artist 29,Album 29,133.9351238159993,1975,158.78088187147924,-13.164351905264766,3,0
S000030,Song Title 30,Artist 30,Album 30,302.2634555704315,1966,122.6977248619342,-7.341873386431317,2,0
S000031,Song Title 31,Artist 31,Album 31,171.15723710618747,1976,74.78671850065993,-18.619409182243007,4,1
S000032,Song Title 32,Artist 32,Album 32,139.51547789558384,1982,163.12989519367068,-19.886683709408654,8,0
S000033,Song Title 33,Artist 33,Album 33,404.66566117599996,1985,155.9737314508826,-1.2581794308241037,7,1
S000034,Song Title 34,Artist 34,Album 34,409.6896099223678,1980,82.15021554444397,-3.5614672812014057,7,1
S000035,Song Title 35,Artist 35,Album 35,362.51920443493833,1981,95.43339470643721,-3.816336577219378,7,0
S000036,Song Title 36,Artist 36,Album 36,211.3841307520112,2017,155.20887097774047,-2.3115144899604587,11,0
S000037,Song Title 37,Artist 37,Album 37,149.30163420191516,1966,82.22741358568916,-5.999314544557912,7,1
S000038,Song Title 38,Artist 38,Album 38,325.2699079536471,1973,170.13029870056528,-17.91191740503837,6,1
S000039,Song Title 39,Artist 39,Album 39,252.0457481218804,1974,110.94329102356343,-12.017996238525539,7,0
S000040,Song Title 40,Artist 40,Album 40,156.61147045343364,2012,70.44467551051903,-5.537010270707409,10,0
S000041,Song Title 41,Artist 41,Album 41,268.55307303338105,1966,157.8898372205137,-14.393310784169582,7,1
S000042,Song Title 42,Artist 42,Album 42,130.31655633456552,1968,104.82116196460652,-6.251872717275248,7,1
S000043,Song Title 43,Artist 43,Album 43,392.79612062363464,2010,123.17990329845372,-19.510031034646953,11,1
S000044,Song Title 44,Artist 44,Album 44,197.63399448000507,2007,73.4765213293463,-13.877253182408136,9,1
S000045,Song Title 45,Artist 45,Album 45,318.7566853061946,1967,60.310081781397884,-9.017393274456547,6,1
S000046,Song Title 46,Artist 46,Album 46,213.5133228268233,2009,136.55822469519572,-7.358203409875156,11,0
S000047,Song Title 47,Artist 47,Album 47,276.0204063533432,2018,121.82102044004779,-8.459186710761784,0,1
S000048,Song Title 48,Artist 48,Album 48,284.0130838029839,1982,131.22462829477766,-6.04487447853141,3,1
S000049,Song Title 49,Artist 49,Album 49,175.4563366576581,1988,155.24926204566196,-19.87822503520322,3,0
S000050,Song Title 50,Artist 50,Album 50,410.8753883293676,1977,137.5927096107432,-17.98117600044957,4,0
S000051,Song Title 51,Artist 51,Album 51,352.5398470083344,1990,80.97281313928526,-2.6211149544170986,9,1
S000052,Song Title 52,Artist 52,Album 52,401.8496824692567,1989,103.29270229327199,-6.365027118196775,5,1
S000053,Song Title 53,Artist 53,Album 53,388.44820512829466,2011,168.70693257453124,-17.741367146279774,3,0
S000054,Song Title 54,Artist 54,Album 54,299.36999364332553,1998,152.39336403020147,-3.158511252028415,1,1
S000055,Song Title 55,Artist 55,Album 55,396.562270506935,1994,126.79644695240607,-15.155375643508663,5,1
S000056,Song Title 56,Artist 56,Album 56,146.54775061557586,1977,90.67739973711268,-10.434802316095531,7,0
S000057,Song Title 57,Artist 57,Album 57,178.79485872574355,2018,96.2472602201754,-17.096069742306796,7,1
S000058,Song Title 58,Artist 58,Album 58,133.56818667316142,2001,147.83496811027615,-5.797798871565867,6,0
S000059,Song Title 59,Artist 59,Album 59,217.5990992289793,1998,162.14091130233248,-6.662911579714644,5,0
S000060,Song Title 60,Artist 60,Album 60,236.6031869068446,1976,140.57096034367373,-15.777750576677276,1,0
S000061,Song Title 61,Artist 61,Album 61,201.40470953216877,1973,157.143597092213,-2.731984662859965,6,0
S000062,Song Title 62,Artist 62,Album 62,368.6212527455788,1990,151.9987362240487,-11.973879515605756,10,1
S000063,Song Title 63,Artist 63,Album 63,227.02599800807678,1983,77.96447615483493,-14.149698178585163,11,0
S000064,Song Title 64,Artist 64,Album 64,204.28035290621423,1994,110.87337754959624,-16.95340821070929,4,1
S000065,Song Title 65,Artist 65,Album 65,282.80882494747453,2003,78.35805609942753,-14.676639749689251,5,1
S000066,Song Title 66,Artist 66,Album 66,162.2772674924288,2019,88.22827017623817,-19.55946157552366,9,1
S000067,Song Title 67,Artist 67,Album 67,360.6590942262119,2004,164.3111549581263,-8.334850150877688,7,1
S000068,Song Title 68,Artist 68,Album 68,142.36519310393123,1993,116.74703587598185,-3.1553850731210424,7,1
S000069,Song Title 69,Artist 69,Album 69,416.06608098015516,1962,124.2429722211193,-9.020391011167163,2,0
S000070,Song Title 70,Artist 70,Album 70,351.6734307889972,1996,81.41351582733265,-15.614520761522485,11,0
